",result,table,_time,_measurement,locationid,co2,devEUI,humidity,temperature"
",,0,2023-01-19T11:30:31.581Z,st-1,202,647,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T11:40:43.369Z,st-1,202,647,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T11:50:59.475Z,st-1,202,645,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T12:00:59.417Z,st-1,202,644,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T12:11:03.086Z,st-1,202,605,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T12:21:06.722Z,st-1,202,633,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T12:31:10.391Z,st-1,202,624,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T12:41:14.028Z,st-1,202,606,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T12:51:17.688Z,st-1,202,608,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T13:01:05.353Z,st-1,202,611,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T13:11:25.093Z,st-1,202,600,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T13:21:12.747Z,st-1,202,605,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T13:31:32.575Z,st-1,202,597,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T13:41:36.105Z,st-1,202,578,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T13:51:39.729Z,st-1,202,599,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T14:01:43.473Z,st-1,202,600,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T14:11:47.045Z,st-1,202,609,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T14:21:35.18Z,st-1,202,561,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T14:31:54.345Z,st-1,202,627,70b3d52dd5000244,44.53,20.1"
",,0,2023-01-19T14:41:58.013Z,st-1,202,660,70b3d52dd5000244,44.92,20.1"
",,0,2023-01-19T14:52:01.75Z,st-1,202,618,70b3d52dd5000244,44.53,20.2"
",,0,2023-01-19T15:02:05.325Z,st-1,202,484,70b3d52dd5000244,40.23,20"
",,0,2023-01-19T15:12:08.97Z,st-1,202,584,70b3d52dd5000244,41.41,20"
",,0,2023-01-19T15:22:12.628Z,st-1,202,636,70b3d52dd5000244,42.19,20"
",,0,2023-01-19T15:32:00.268Z,st-1,202,635,70b3d52dd5000244,42.58,20"
",,0,2023-01-19T15:42:20.07Z,st-1,202,710,70b3d52dd5000244,42.97,20.2"
",,0,2023-01-19T15:52:23.697Z,st-1,202,868,70b3d52dd5000244,43.75,20.2"
",,0,2023-01-19T16:02:31.432Z,st-1,202,1028,70b3d52dd5000244,43.75,20.3"
",,0,2023-01-19T16:12:19.026Z,st-1,202,1042,70b3d52dd5000244,44.14,20.4"
",,0,2023-01-19T16:22:38.683Z,st-1,202,1169,70b3d52dd5000244,44.92,20.5"
",,0,2023-01-19T16:32:46.348Z,st-1,202,1212,70b3d52dd5000244,44.92,20.4"
",,0,2023-01-19T16:42:54.003Z,st-1,202,1520,70b3d52dd5000244,46.09,20.5"
",,0,2023-01-19T16:53:01.642Z,st-1,202,1454,70b3d52dd5000244,45.31,20.6"
",,0,2023-01-19T17:03:09.348Z,st-1,202,1454,70b3d52dd5000244,45.31,20.7"
",,0,2023-01-19T17:13:21.013Z,st-1,202,1559,70b3d52dd5000244,45.7,20.8"
",,0,2023-01-19T17:23:24.675Z,st-1,202,1608,70b3d52dd5000244,46.09,20.8"
",,0,2023-01-19T17:33:28.32Z,st-1,202,1641,70b3d52dd5000244,46.09,20.8"
",,0,2023-01-19T17:43:36.133Z,st-1,202,1635,70b3d52dd5000244,45.7,20.8"
",,0,2023-01-19T17:53:12.039Z,st-1,202,1635,70b3d52dd5000244,45.7,20.8"
",,0,2023-01-19T18:03:27.31Z,st-1,202,1578,70b3d52dd5000244,45.7,20.6"
",,0,2023-01-19T18:13:47.431Z,st-1,202,1554,70b3d52dd5000244,45.7,20.6"
",,0,2023-01-19T18:24:07.536Z,st-1,202,1574,70b3d52dd5000244,45.7,20.6"
",,0,2023-01-19T18:34:11.717Z,st-1,202,1546,70b3d52dd5000244,45.7,20.5"
",,0,2023-01-19T18:44:19.31Z,st-1,202,1505,70b3d52dd5000244,45.7,20.6"
",,0,2023-01-19T18:54:26.981Z,st-1,202,1458,70b3d52dd5000244,45.7,20.5"
",,0,2023-01-19T19:04:34.715Z,st-1,202,1470,70b3d52dd5000244,45.7,20.5"
",,0,2023-01-19T19:14:42.309Z,st-1,202,1425,70b3d52dd5000244,45.7,20.4"
",,0,2023-01-19T19:24:46.03Z,st-1,202,1429,70b3d52dd5000244,45.7,20.4"
",,0,2023-01-19T19:34:49.609Z,st-1,202,1394,70b3d52dd5000244,45.7,20.4"
",,0,2023-01-19T19:44:57.422Z,st-1,202,1423,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T19:55:05.132Z,st-1,202,1417,70b3d52dd5000244,45.7,20.4"
",,0,2023-01-19T20:05:12.783Z,st-1,202,1356,70b3d52dd5000244,45.7,20.4"
",,0,2023-01-19T20:15:20.364Z,st-1,202,1344,70b3d52dd5000244,45.7,20.4"
",,0,2023-01-19T20:25:28.046Z,st-1,202,1362,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T20:35:35.775Z,st-1,202,1291,70b3d52dd5000244,45.7,20.4"
",,0,2023-01-19T20:45:27.364Z,st-1,202,1324,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T20:55:51.021Z,st-1,202,1307,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T21:05:58.686Z,st-1,202,1299,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T21:16:06.511Z,st-1,202,1266,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T21:26:14.076Z,st-1,202,1289,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T21:36:21.665Z,st-1,202,1234,70b3d52dd5000244,45.7,20.2"
",,0,2023-01-19T21:46:29.557Z,st-1,202,1204,70b3d52dd5000244,45.7,20.3"
",,0,2023-01-19T21:56:37.126Z,st-1,202,1229,70b3d52dd5000244,45.7,20.3"
